name,phone,email
<h1>Rivington 151</h1>,(212) 228-4139,
<h1>Transvilla Real Estate &amp; Development Group Inc</h1>,(212) 334-6191,
<h1>Columbus Properties Inc</h1>,(212) 732-0916,peter.conlin@cbre-ne.com
<h1>Safeguard Realty Management Inc</h1>,(212) 217-9720,
<h1>Koeppel Management Co</h1>,(212) 751-8334,
<h1>Solil Managmnt Corp</h1>,(212) 675-3572,
<h1>Amtrust Realty Corp</h1>,(212) 619-6919,sgrant@kulayoga.com
<h1>Eastpointe Properties Group</h1>,(212) 924-1242,
<h1>1265 Broadway</h1>,(212) 564-8713,pom@21insurance.com
<h1>Whitehouse Estates Inc</h1>,(212) 644-3542,
<h1>Leiter Realty Group</h1>,(718) 387-3700,
<h1>Silver Star Properties Corp</h1>,(212) 244-2266,
<h1>Allied Realty Associates</h1>,(212) 475-1300,
<h1>Aaa Balsamo Rosenblatt Rizzo &amp; Shivers P C</h1>,(718) 858-2362,
<h1>Sol Goldman Rl Est</h1>,(212) 265-2280,
<h1>Big City Realty</h1>,(646) 476-2451,
<h1>Toll Brothers New York City Living Division Office</h1>,(212) 742-0835,
<h1>Bettina Construction</h1>,(212) 744-3330,
<h1>Mautner Glick Corp</h1>,(212) 288-1999,info@mautnerglick.com
<h1>AA Realty Group</h1>,(212) 634-7838,arie@aarealtygroup.com
<h1>New York Living Solution</h1>,(646) 559-2778,
<h1>95 Wall</h1>,(646) 783-0839,95Wall@udr.com
<h1>Blue Stone Group</h1>,(212) 514-9601,
<h1>55 Broad</h1>,(212) 344-5290,
<h1>Peracon</h1>,(212) 693-0402,enquiries@peracon.com.au
<h1>Imurje Inc</h1>,(347) 592-6256,info@imurje.com
<h1>Steller Management</h1>,(212) 619-5921,
<h1>45 Wall St by TF Cornerstone</h1>,(212) 797-7000,lisa.wahl@tfcornerstone.com
<h1>Lorgines Realty Inq</h1>,(212) 941-9680,Brian@longinesrealty.com
<h1>2 Gold St by TF Cornerstone</h1>,(212) 222-4653,lisa.wahl@tfcornerstone.com
<h1>Brookfield Properties</h1>,(212) 693-8150,
<h1>Century 21</h1>,(212) 385-1315,
<h1>Century 21</h1>,(212) 693-2828,service@email.c21stores.com
<h1>Homestead Nyc Inc</h1>,(212) 566-5550,info@homestateproperties.com
<h1>Century 21</h1>,(212) 334-3512,
<h1>Spring 11</h1>,(212) 372-2000,
<h1>Sdny Office Space</h1>,(917) 771-4960,
<h1>Bellmarc Realty Inc</h1>,(212) 517-9100,akaplan@cae.org
<h1>740 Park Hair Restoration</h1>,(888) 651-4282,info@740md.com
"<h1>Regus - New York, New York - 1325 Avenue of Americas</h1>",(212) 763-8300,NewYork.1325Sixth@regus.com
<h1>The Corcoran Group</h1>,(212) 721-4600,ERD@Corcoran.com
<h1>121 East 22nd</h1>,(212) 300-4226,
<h1>Olshan Realty Co</h1>,(212) 751-3300,monterealty@monterealty.com
<h1>ellen kapit Associate real estate broker</h1>,(917) 620-3445,ellen.kapit@sothebysrealty.com
<h1>The Boland Team at The Corcoran Group</h1>,(347) 262-2766,julia.boland@corcoran.com
<h1>Corcoran Group</h1>,(212) 444-7899,SJD@corcoran.com
<h1>Halliburton Homes</h1>,(201) 420-7766,jesse@halliburtonhomes.com
<h1>Gotham Realty</h1>,(201) 610-0036,info@gothamrealtynj.com
<h1>Ten Fifty Park Ave</h1>,(212) 289-4653,
<h1>Nyc Apartments Sale</h1>,(212) 717-7117,
<h1>Emmut Properties</h1>,(212) 475-0510,
<h1>John Tarjavaara</h1>,(917) 805-3180,johnt@mazgroupny.com
<h1>Goldstein Associates</h1>,(212) 545-5801,info@gace.net
<h1>Oxford Property Group</h1>,(212) 300-6412,info@opgny.com
<h1>Citi Habitats</h1>,(212) 685-7777,info@citihabitats.com
<h1>Harlington Realty</h1>,(212) 734-9500,info@harlington.com
<h1>Zuni</h1>,(212) 765-7626,
<h1>Harlington Realty</h1>,(212) 734-9500,info@harlington.com
<h1>Harlington Realty</h1>,(212) 734-9500,info@harlington.com
<h1>Brusco Realty</h1>,(212) 663-4900,stucraigadler@aol.com
<h1>Harlington Realty</h1>,(212) 734-9500,info@harlington.com
<h1>Re/Max Midtown //</h1>,(888) 407-6374,
<h1>Coldwell Banker Hunt Kennedy</h1>,(212) 255-4000,
<h1>Harlington Realty</h1>,(212) 734-9500,info@harlington.com
"<h1>Packman, C</h1>",(212) 421-9165,
<h1>Realogy Corporation Corcoran Group Chelsea</h1>,(212) 444-7800,
<h1>The Corcoran Group</h1>,(212) 253-0100,relocationdepartment@corcoran.com
<h1>ABC Stay</h1>,(917) 363-0845,
<h1>Harlington Realty</h1>,(212) 734-9500,info@harlington.com
<h1>Tawil &amp; Team</h1>,(646) 609-8868,
<h1>Douglas Elliman Real Estate</h1>,(646) 561-4884,
<h1>The Corcoran Group</h1>,(212) 941-2500,Tim.Cass@corcoran.com
<h1>Citi Habitats</h1>,(212) 937-8500,
<h1>Bellmarc Realty</h1>,(212) 627-3000,
<h1>77 Charlton</h1>,(212) 981-8580,
<h1>Holiday Estates USA</h1>,(800) 984-9029,info@heltdusa.org
<h1>Urban Dwellers NYC</h1>,(212) 473-2600,info@nycdwellers.com
<h1>Jones Lang Lasalle</h1>,(212) 422-2450,
<h1>Paper Street Real Estate</h1>,(646) 634-7748,
<h1>Burchman Terrio Urban Consultants</h1>,(212) 968-9330,info@btqfinancial.com
<h1>Battery Park City No 12 Associates</h1>,(212) 619-2600,
<h1>Axel Johnson Inc</h1>,(646) 291-2445,info@axeljohnsoninc.com
<h1>Americas Lending Group</h1>,(516) 870-9249,
<h1>Wagner Associates</h1>,(212) 560-9469,peter@cheslerassociates.com
<h1>Royal Realty Corp</h1>,(212) 687-3733,
<h1>Cesar Guevara | MQ Realty</h1>,(917) 523-4681,cguevara@mqrealty.com
<h1>Olmstead Properties</h1>,(212) 564-6662,srosenblatt@olmsteadinc.com
<h1>Agent Joshua Garcia - Paripassu Realty Corp - Broker</h1>,(718) 701-1752,joshuagarciares@gmail.com
<h1>Realty Advisory Bd On Labor Relations Inc</h1>,(212) 867-1186,fminchella@aegonusa.com
<h1>Spring 11</h1>,(212) 372-2000,
<h1>Hunter Realty Organization</h1>,(212) 944-9147,mail@hunterorg.com
<h1>Joseph P Day Realty Corp</h1>,(212) 889-7460,dbecker@jpday.com
<h1>The Prudential</h1>,(212) 279-1497,prustablevalue@prudential.com
<h1>Cohen Commercial Properties</h1>,(212) 679-1222,
<h1>Ilshin America Inc</h1>,(212) 560-0708,
<h1>Newmark</h1>,(212) 609-8000,
"<h1>Richline Group, Inc</h1>",(800) 966-8800,web@www.richlinegroup.com
<h1>Mamiye Group</h1>,(212) 279-4150,info@gideonsdrugs.com
<h1>SL Green Realty Corp</h1>,(212) 868-1359,twirth@slgreen.com
<h1>Harlington Realty</h1>,(212) 734-9500,info@harlington.com
<h1>The Murray Hill</h1>,(347) 728-0315,
<h1>Lucien Perry Real Estate</h1>,(212) 213-5335,lucien@lucienperry.com
<h1>Maletzky Media</h1>,(212) 829-0150,
<h1>Kamenitzer Real Estate</h1>,(212) 482-1500,edk@edkamenitzerrealestate.com
<h1>Harlington Realty</h1>,(212) 734-9500,info@harlington.com
<h1>Hudson Realtor</h1>,(917) 213-7783,
<h1>NY Long Island Real Estate</h1>,(929) 390-8838,info@nylongislandrealestate.com
<h1>The Rudd Group</h1>,(212) 319-5000,msruddlaw@msn.com
<h1>Harlington Realty</h1>,(212) 734-9500,info@harlington.com
<h1>Harlington Realty</h1>,(212) 734-9500,info@harlington.com
<h1>Hines Gerald D Interest</h1>,(212) 969-9277,
<h1>Harlington Realty</h1>,(212) 734-9500,info@harlington.com
<h1>875 Third Avenue</h1>,(212) 418-2646,Diana.Biasotti@am.jll.com
<h1>Douglas Elliman Real Estate</h1>,(212) 705-1079,askelliman@elliman.com
<h1>First New York Realty</h1>,(212) 682-9840,
<h1>Veronis Suhler Stevenson</h1>,(212) 935-4990,CallagyM@vss.com
<h1>Westchester Realty NY</h1>,(917) 359-1962,MarkTurken1@gmail.com
<h1>Rothschild Asset Management</h1>,(212) 403-3500,pramex1@mindspring.com
<h1>Array Property Group</h1>,(917) 530-8014,arraynewyork@gmail.com
<h1>Rockefeller Group Development</h1>,(212) 282-2100,michelle@rgbc.com
<h1>Spring 11</h1>,(212) 372-2000,
<h1>Harlington Realty</h1>,(212) 734-9500,info@harlington.com
<h1>Mitsui Fudosan America Inc</h1>,(212) 403-5600,aanderson@mfamerica.com
<h1>Helmsley Spear</h1>,(212) 396-8100,web@www.helmsleyspear.com
<h1>Sage Realty Corp</h1>,(212) 421-9592,badams@sagerealty.com
<h1>Century 21</h1>,(646) 571-2270,
<h1>Alliance</h1>,(212) 302-9537,
<h1>Schlesinger And Company</h1>,(212) 370-7868,richard@schlesingerllc.com
<h1>Penmark Realty</h1>,(646) 485-6100,anna@penmarkrealty.com
<h1>Durst Foundation Inc</h1>,(212) 257-6600,info@durst.org
<h1>Credit Rebirth - NY</h1>,(718) 395-0532,
<h1>Sierra Realty Corp</h1>,(212) 490-1002,dns@kj.net
<h1>Manhattan East Realty</h1>,(212) 452-4260,
<h1>Hudson Vista Properties</h1>,(917) 952-8446,
<h1>Harlington Realty</h1>,(212) 734-9500,info@harlington.com
<h1>CITY LUXURY</h1>,(212) 222-6918,info@cityluxury.com
<h1>Friedland Properties</h1>,(212) 744-3300,
<h1>Harlington Realty</h1>,(212) 734-9500,info@harlington.com
<h1>The Max by TF Cornerstone</h1>,(212) 672-2100,
<h1>Harlington Realty</h1>,(212) 734-9500,info@harlington.com
<h1>Global International Realty Group</h1>,(917) 623-8570,rs@glointergroup.com
<h1>Century 21</h1>,(212) 255-5200,
<h1>Spring 11</h1>,(212) 372-2000,
"<h1>Susan D Fine Enterprises, LLC</h1>",(212) 247-5375,
<h1>Newmark</h1>,(800) 229-6843,
<h1>Bgc Partners</h1>,(212) 753-0006,inquiries@cantor.com
<h1>Prudential Insurance Co</h1>,(212) 832-1666,
<h1>Video Operations Svces Inc</h1>,(212) 421-9870,
<h1>Sherwood Equities Inc</h1>,(212) 980-8000,paul_collins@sherwood-equities.com
<h1>Spring 11</h1>,(212) 372-2000,
<h1>Friedman Equities</h1>,(212) 980-0900,lsmith@friedmaneq.com
<h1>Judson Realty</h1>,(212) 974-1917,aejoo@hotmail.com
<h1>Ra Partners</h1>,(954) 650-2096,
<h1>Harlington Realty</h1>,(212) 734-9500,info@harlington.com
<h1>Dobbs Associates Inc</h1>,(212) 744-2900,info@cdobbs.com
<h1>MKF Group</h1>,(212) 588-8885,
<h1>Spring 11</h1>,(212) 372-2000,
<h1>Key Ventures Inc</h1>,(212) 439-1610,
<h1>Hudson Place Realty</h1>,(201) 420-7393,info@hudsonplacerealty.com
<h1>Douglas Elliman Real Estate</h1>,(212) 891-7000,douglas.maine@bbh.com
<h1>Bellmarc Brokerage LTD</h1>,(212) 688-8530,
<h1>Wythe Ateliers</h1>,(718) 305-6712,
<h1>Toll Brothers New Jersey City Living Division Office</h1>,(201) 217-6626,
<h1>MDL Real Estate Group</h1>,(718) 571-9226,mikeylash@gmail.com
<h1>Forest City Ratner Co</h1>,(718) 923-8400,info@fcrc.com
<h1>Forest City Pierrepont Assoc</h1>,(718) 802-0131,
<h1>Michelle Mumoli - The Mumoli Group</h1>,(917) 268-8916,michelle.mumoli@triplemint.com
<h1>West Harlem Group Assistance</h1>,(212) 862-1399,chylton@whgainc.org
<h1>VANGUARD REALTY</h1>,(646) 862-6474,eiraldarealtor@yahoo.com
<h1>The Corcoran Group</h1>,(718) 852-9050,relocationdepartment@corcoran.com
<h1>Newmark</h1>,(212) 372-0759,
<h1>Mack-Cali Realty Corp</h1>,(201) 536-3181,
<h1>Harlington Realty</h1>,(212) 734-9500,info@harlington.com
<h1>Alfred Real Estate</h1>,(212) 666-0303,ebunin@alfredre.com
<h1>Anna Notaro Agency</h1>,(212) 831-6695,
<h1>1765 First Associates</h1>,(212) 996-3127,
<h1>Ruppert-Yorkville Towers</h1>,(212) 534-7771,CharlesPrestia@ruppertyorkville.com
<h1>Brown Harris Stevens</h1>,(212) 861-8113,
<h1>Tribeca Associates LP</h1>,(212) 227-5296,
<h1>The Corcoran Group</h1>,(212) 360-6160,Pamela.Barnes-Moses@corcoran.com
<h1>Copperwood Real Estate</h1>,(212) 390-1800,
<h1>Murray Street Realty Associates</h1>,(212) 233-2370,
<h1>Tribeca Green Valet Inc</h1>,(212) 608-5533,
<h1>Pro Se Assn Inc</h1>,(212) 406-4280,
<h1>Besedin Avakov &amp; Shea</h1>,(212) 822-1438,
<h1>Mem Realty Corp</h1>,(212) 962-0081,
<h1>Vertex Realty Group</h1>,(212) 868-2001,
<h1>Dominion Realty Capital</h1>,(212) 791-4100,
<h1>Nue Studio Group</h1>,(212) 513-1155,
<h1>58-60 Realty</h1>,(212) 608-6293,
<h1>Cushman &amp; Wakefield Inc</h1>,(212) 227-4752,
<h1>Schmieder Real Estate Consultants Incorporated</h1>,(212) 732-3688,
<h1>291 Broadway Realty Associates</h1>,(212) 619-0558,
<h1>The Maray Co</h1>,(212) 349-6064,
<h1>281 Associates</h1>,(212) 571-2165,
<h1>Sutton Investments</h1>,(212) 354-3600,
<h1>Whitaker Management</h1>,(646) 587-0159,
<h1>Broadway Owners</h1>,(212) 233-2720,
<h1>Fifty Eight To Sixty Four</h1>,(212) 732-7455,
<h1>Tower Property Group</h1>,(212) 758-7589,
<h1>Cullen And Troia</h1>,(212) 233-9772,
<h1>325 Broadway Associates</h1>,(212) 233-5688,vic.davidson@dellarossa.net
<h1>Brian Nuesi @ Douglas Elliman</h1>,(347) 661-2229,brian.nuesi@elliman.com
<h1>J W Realty Co</h1>,(212) 227-1144,
<h1>The Parkside Group</h1>,(212) 571-7717,
<h1>Siegfriedt Kurt</h1>,(212) 227-8332,
<h1>Bevmax Office Centers - Tribeca</h1>,(212) 710-0093,info@bevmaxoffice.com
<h1>Toja Enterprises</h1>,(212) 274-1770,
<h1>Time Equities</h1>,(212) 978-8483,
<h1>Barclays International Realty</h1>,(212) 627-0206,
<h1>225 Bway Company</h1>,(212) 227-8638,
<h1>Newmark &amp; Co Real Estate</h1>,(212) 233-0848,
<h1>Bluestone Realty Services</h1>,(212) 227-4082,
<h1>Plush Realty</h1>,(212) 285-4232,
<h1>Cotswood Realty</h1>,(212) 566-6188,
<h1>Jani Real Estate</h1>,(212) 334-5571,
<h1>Goldberg Everet</h1>,(212) 406-6969,
<h1>Centerline Centerline</h1>,(212) 317-5700,postmaster@centerline.com
<h1>Edward S Gordon Company Inc RL EST</h1>,(212) 868-4557,
<h1>Bayside Builders Inc</h1>,(212) 431-4218,
<h1>Century Operating Corp</h1>,(212) 290-1100,
<h1>157 West 49 St Realty Corp</h1>,(212) 226-6497,
<h1>Duane Street</h1>,(212) 227-1196,support@propertyshark.com
<h1>Skyline Mng Manhattan</h1>,(212) 706-8910,
<h1>Mark Greenberg Real Estate Co Inc</h1>,(212) 888-8811,
<h1>Solemanivella</h1>,(212) 686-2500,
<h1>Abn</h1>,(646) 912-9036,
<h1>Promethium Realty Corp</h1>,(212) 732-2910,SGrant@kulayoga.com
<h1>Williams Real Estate Co Inc</h1>,(212) 513-1292,
<h1>Century Realty</h1>,(212) 240-9680,
<h1>African American Realty Co</h1>,(212) 292-2707,
<h1>80 Lafayette Associates</h1>,(212) 267-2669,
<h1>Small Commercial Property Owners</h1>,(212) 634-9777,
<h1>Rose Associates Inc</h1>,(646) 414-0011,
<h1>Oursquare Inc</h1>,(212) 227-7455,
<h1>Savoy Real Estate</h1>,(212) 349-5759,
<h1>Tudor City Realty</h1>,(212) 842-0887,
<h1>Whitman-Oaks Inc</h1>,(212) 334-5264,info@entitysource.com
<h1>Jack Resnick &amp; Sons</h1>,(212) 608-5827,resnick-hr@resnicknyc.com
<h1>Gateway Realty Group</h1>,(718) 471-5224,
<h1>Jjsl Development Inc</h1>,(212) 528-9250,
<h1>Lamb Realty</h1>,(212) 566-8866,
<h1>Tabak Real Estate</h1>,(212) 962-0356,
<h1>Ann Street Properties Group</h1>,(212) 619-6825,
<h1>Benchmark Real Estate</h1>,(212) 431-2674,
<h1>Douglas Elliman Real Estate</h1>,(212) 227-1490,
<h1>172 Duane Street Realty</h1>,(212) 941-7901,support@propertyshark.com
<h1>Public Data Systems Inc</h1>,(212) 941-6216,earle@ldsys.net
<h1>Four Hundred Group</h1>,(212) 964-2926,
<h1>Cortlandt Realty</h1>,(212) 219-0217,contact@midlandrealtyny.com
<h1>Ovation Realty Corp</h1>,(917) 620-9199,
<h1>L B B Associates Inc</h1>,(212) 964-3777,
<h1>19-21 Beekman Holdings</h1>,(212) 608-6675,
<h1>Boston Properties</h1>,(212) 871-1959,srosenberg@bostonproperties.com
<h1>Leonard Street Properties Group Ltd</h1>,(212) 966-5486,
<h1>City Side Realty Corp Inc</h1>,(800) 805-6605,
<h1>56 Leonard</h1>,(212) 965-1500,info@56leonardtribeca.com
<h1>Dcas</h1>,(212) 566-3724,
<h1>Park Row 9 &amp; 10</h1>,(212) 346-9831,joed@jandr.com
<h1>Freeman Frazier And Associates Inc</h1>,(212) 732-1442,jfreeman@freemanfrazier.com
<h1>Seven Dey St Corp</h1>,(212) 964-1886,mikea@lacormech.com
<h1>Kit Tzing Lee Kaun Realty Inc</h1>,(212) 925-0390,
<h1>Lin Pan International Realty</h1>,(212) 680-0188,
<h1>Summit Associates</h1>,(212) 608-5588,mark@liptonassoc.com
<h1>Gage Rand Realty Inc</h1>,(212) 349-1010,
<h1>Oestreicher Properties Inc</h1>,(646) 497-0102,
<h1>Prudential Real Estate</h1>,(646) 613-0778,
<h1>Rice Bowl Realty Corp</h1>,(212) 608-9072,
<h1>Jay Street Condominium</h1>,(212) 226-0941,
<h1>Everest Realty Company Inc</h1>,(212) 966-2135,info@BroadwayRealty.com
<h1>Baum Enterprises</h1>,(212) 219-0441,
<h1>Inhouse Group Inc</h1>,(212) 965-0917,serge@aloudstudio.com
<h1>Actis</h1>,(212) 226-8752,
<h1>37 Murray St Condo</h1>,(212) 343-0005,
<h1>Augie Hasho &amp; Assocs</h1>,(212) 349-5640,
<h1>Century Realty</h1>,(212) 791-7546,dkuz@yahoo.com
<h1>One Sixteen Inc</h1>,(212) 966-6086,
<h1>Surrey Equities</h1>,(212) 619-3700,info@surreyequities.com
<h1>White Acres Equities</h1>,(212) 732-3900,
<h1>Teddy's Realty Assoc</h1>,(212) 343-0005,
<h1>Benchmark Real Estate</h1>,(212) 966-3075,
<h1>Ya Zhou Wen Hua Enterprises</h1>,(646) 613-8209,
<h1>Cushman &amp; Wakefield Inc</h1>,(212) 233-1278,
<h1>156 William Street Owner</h1>,(212) 233-7266,
<h1>East Realty</h1>,(212) 587-6100,
<h1>90 Nassau</h1>,(212) 962-3687,
<h1>Cedar Management Corp</h1>,(212) 227-9657,
<h1>55 White Street Condominiums</h1>,(212) 219-2267,
<h1>Depository Trust Co</h1>,(212) 608-8912,forummoderator@legallanguage.com
<h1>21-23 Maiden Lane Realty</h1>,(212) 732-3436,
<h1>6 East 97st</h1>,(212) 879-5656,
<h1>Yjl Holdings</h1>,(212) 732-3436,info@delval.biz
<h1>Gold Medal U S A Inc</h1>,(212) 349-2371,
<h1>Matera Management Co</h1>,(212) 966-9783,
<h1>Kedzkidz Realty</h1>,(212) 226-1707,
<h1>D S A Realty Service</h1>,(212) 693-0200,
<h1>Century 21</h1>,(212) 775-0021,
<h1>Kessaris Apt Building</h1>,(646) 869-0137,
<h1>Super Connection</h1>,(212) 226-0561,
<h1>Shushana</h1>,(212) 966-6765,
